10001;8124-ABD;AAA00AAA00A90578;PIAGIO VESPA;negro;2000
10002;8667-ABE;AAA00AAA00A59543;PORSCHE PANAMERA DIESEL;negro;2004
10003;9141-AAE;AAA00AAA00A45874;MERCEDES C 350;gris;2002
10004;2405-AAB;AAA00AAA00A82218;BMW 320 CI;azul marino;2004
10005;9445-ABA;AAA00AAA00A61443;VOLVO FH 12 340;amarillo;2003
10006;0660-ABE;AAA00AAA00A07006;HONDA CIVIC 5P.;rojo;2004
10007;9848-ABC;AAA00AAA00A96430;OPEL REKORD 2.2 I;amarillo;2000
10008;6764-AAD;AAA00AAA00A86051;YAMAHA X MAX 250;blanco;2004
10009;6385-AAB;AAA00AAA00A27522;CITR.XSARA PICA;negro;2000
10010;2090-ABA;AAA00AAA00A11563;OPEL ZAFIRA ELEGANC 1.8 16V;verde;2004
10011;9610-ABE;AAA00AAA00A65454;MORGAN PLUS;amarillo;2001
10012;1473-ABB;AAA00AAA00A21676;CITRO-N PICASSO;blanco;2005
10013;9033-AAB;AAA00AAA00A82939;DERBI RAMBLA 25;amarillo;2003
10014;7392-ABC;AAA00AAA00A62208;VESPA 200 CC DN;rojo;2001
10015;9093-AAA;AAA00AAA00A38904;CITROEN BERL.19D FG.800 KG;amarillo;2001
10016;8154-AAB;AAA00AAA00A68012;G.A.C. SM;blanco;2004
10017;7611-AAA;AAA00AAA00A82878;MITSUBISHI OUTL;verde;2005
10018;4022-AAA;AAA00AAA00A90365;PIAGGIO VESPA PX150;negro;2000
10019;7189-AAE;AAA00AAA00A11273;YAMAHA 3WG CY50;rojo;2000
10020;7431-ABD;AAA00AAA00A51429;JAGUAR X TYPE;gris;2005
10021;5150-AAD;AAA00AAA00A21970;AUDI A4 1.9 TDI AUT.;azul marino;2001
10022;8970-ABE;AAA00AAA00A50150;FEBA V204;amarillo;2002
10023;7863-ABA;AAA00AAA00A76496;HONDA CIVIC 1,5I;rojo;2003
10024;4905-ABE;AAA00AAA00A77940;CITROEN C4PI TH;negro;2004
10025;3225-ABE;AAA00AAA00A98411;CITRO-N BENL .H;amarillo;2002
10026;8422-AAE;AAA00AAA00A25439;LECIÐENA SRP 3E;azul marino;2002
10027;5783-AAA;AAA00AAA00A23708;SUZUKI GS500EN;rojo;2004
10028;0752-ABD;AAA00AAA00A54210;TOFH RV-2509;amarillo;2000
10029;6990-ABA;AAA00AAA00A43834;A.U.D.I. A4 139 TDI;gris;2003
10030;9348-ABD;AAA00AAA00A19928;SUZUKI UH 150;azul celeste;2002
10031;4340-AAC;AAA00AAA00A81986;PIAGGIO LIBERTY 125 3V;gris;2004
10032;7081-ABB;AAA00AAA00A36437;M.A.N. TGA 18 4804X2 BLS;verde;2005
10033;1854-AAE;AAA00AAA00A97923;VOLKSWAGEN BEETLE 2.0I;azul marino;2000
10034;6913-AAC;AAA00AAA00A60016;CITROEN JUMPER 2.5D;rojo;2005
10035;9065-AAA;AAA00AAA00A20901;RENAULT SPACE;blanco;2003
10036;5384-ABC;AAA00AAA00A68093;GAS-GAS TXT250;negro;2005
10037;3804-ABD;AAA00AAA00A56776;MERCEDES-BENZ MB 100 D;verde;2001
10038;5712-ABB;AAA00AAA00A61570;A.U.D.I. ALLR0 2.5;verde;2004
10039;1753-AAC;AAA00AAA00A04442;M.G. RD 1.8;blanco;2003
10040;8455-ABE;AAA00AAA00A74735;SUZUKI ALTO;amarillo;2003
10041;1248-AAD;AAA00AAA00A57334;CITRO-N N-C4 HDI 90 COLLEC;verde;2004
10042;1803-AAA;AAA00AAA00A18776;MERCEDES-BENZ 210,037 E 230;azul celeste;2002
10043;0642-AAE;AAA00AAA00A13553;FORD MONDEO;gris;2004
10044;9872-AAA;AAA00AAA00A00179;LEXUS CT 200H 16 WG AUT;amarillo;2001
10045;0671-AAC;AAA00AAA00A51346;BMW F 800 R;verde;2004
10046;8785-AAA;AAA00AAA00A73734;RENAULT R-6 GTL;rojo;2002
10047;8190-ABB;AAA00AAA00A84616;DAEWOOL LANOS;amarillo;2001
10048;8588-ABE;AAA00AAA00A36814;B.M.W. 525 TD;gris;2003
10049;3995-ABB;AAA00AAA00A30959;CITROEN_C15;blanco;2001
10050;0448-ABD;AAA00AAA00A64505;VOLKSWAG. GOLF;gris;2003
10051;0404-ABE;AAA00AAA00A51266;PEUGEOT BOX FG 335 L3H2;negro;2002
10052;1008-ABA;AAA00AAA00A02246;HYUNDAI 130 1.4;verde;2005
10053;9314-AAC;AAA00AAA00A36046;VOLKSWAGEN POLO 1.05;negro;2004
10054;1961-ABE;AAA00AAA00A69948;B.M.W. SERIE 3 330;amarillo;2001
10055;8916-AAE;AAA00AAA00A79034;HONDA FORESIGHT;verde;2003
10056;5180-ABB;AAA00AAA00A70396;RENAULT RENAULT ESPACE;negro;2002
10057;5395-AAA;AAA00AAA00A61355;ROVER MINI 1 3;rojo;2004
10058;7838-ABC;AAA00AAA00A35862;BMW X-5 MANUAL;azul marino;2000
10059;6704-AAB;AAA00AAA00A05605;VOLKSWGAEN TOUR;amarillo;2004
10060;0952-ABE;AAA00AAA00A89858;CITROEN C 15 1.;verde;2001
10061;4261-AAB;AAA00AAA00A82905;CITRO-N N-C5 LX;gris;2002
10062;6818-AAA;AAA00AAA00A52381;RENAULT 19 TXI;rojo;2003
10063;9777-ABE;AAA00AAA00A97487;HONDA VFR750 F;azul marino;2001
10064;3654-ABA;AAA00AAA00A10594;NORTON 16H;azul celeste;2003
10065;1366-ABA;AAA00AAA00A44612;CHRYSLER PT CRU;rojo;2002
10066;0744-ABC;AAA00AAA00A41381;SMART FORFOUR;negro;2004
10067;5147-ABB;AAA00AAA00A58157;SEAT RITMO 75;azul marino;2004
10068;1055-ABD;AAA00AAA00A97846;GILERA NEXUS125;amarillo;2001
10069;3834-ABB;AAA00AAA00A49928;YAMAHA CIGNUSX;gris;2004
10070;2095-AAD;AAA00AAA00A05693;FORD RANGER DOB;verde;2003
10071;7906-ABC;AAA00AAA00A69224;PEUGEOT 406 STDT HDI;azul marino;2000
10072;4502-ABE;AAA00AAA00A03018;A.U.D.I. 80 TUR;rojo;2003
10073;4247-ABE;AAA00AAA00A87357;OPEL CLUB 1.0;amarillo;2002
10074;8953-AAE;AAA00AAA00A66991;VOLKSW GOLF_TDI;negro;2005
10075;4441-AAE;AAA00AAA00A39544;VOLKSWAGEN PASSAT 2,0 INY;gris;2003
10076;5467-AAD;AAA00AAA00A79225;HONDA CMX250C;verde;2003
10077;7379-ABC;AAA00AAA00A90614;CITROEN XSARA 1,4I SX;amarillo;2002
10078;8934-ABC;AAA00AAA00A74153;CITROEN JUMP.27C 19D FG.;azul marino;2001
10079;6655-ABD;AAA00AAA00A83275;SMART FORFOUR;blanco;2001
